
[00:00:00.000 --> 00:00:04.400]  早上好,非常感謝大家來到江鄭劇院參加我們的活動
[00:00:04.400 --> 00:00:10.160]  這個就是曉閣50週年的慶典活動的最後一個部分
[00:00:10.160 --> 00:00:12.160]  但也不是最後一天
[00:00:12.160 --> 00:00:14.880]  因為我們外面的展覽是到明天2月2日的
[00:00:14.880 --> 00:00:19.760]  所以我們今天會由早上開始一直到中午才結束
[00:00:19.760 --> 00:00:24.280]  我們第一個部分會邀請到三位嘉賓來現場幫我們做一個主場演講
[00:00:24.280 --> 00:00:27.480]  我們也會圍繞著大灣區的合作去講解
[00:00:27.480 --> 00:00:29.280]  我們的資料都比較務實一點
[00:00:29.280 --> 00:00:31.200]  所以大家都可以很貼地地去問問題
[00:00:31.200 --> 00:00:33.480]  如果你們有任何的疑問
[00:00:33.480 --> 00:00:37.160]  我們可以在三位嘉賓講解完之後
[00:00:37.160 --> 00:00:38.480]  大家就可以隨便提問
[00:00:38.480 --> 00:00:40.480]  我們互相交流對答
[00:00:40.480 --> 00:00:41.600]  我們是非常寬容的
[00:00:41.600 --> 00:00:44.200]  然後十一月中我們會有Eric
[00:00:44.200 --> 00:00:47.520]  會跟大家分享怎樣用手機去講故事
[00:00:47.520 --> 00:00:50.240]  他也做了一個他自己的平台
[00:00:50.240 --> 00:00:51.440]  跟大家一起玩
[00:00:51.440 --> 00:00:52.640]  做一些測試
[00:00:52.640 --> 00:00:56.200]  希望之後可以讓大家用來做創作
[00:00:56.200 --> 00:00:58.720]  稍後的時候他會再講多一點
[00:00:58.720 --> 00:00:59.840]  我們會順著下去的
[00:00:59.840 --> 00:01:00.360]  是的
[00:01:00.360 --> 00:01:03.640]  有朋友會跟我們一起去之後的活動的話
[00:01:03.640 --> 00:01:06.000]  記得跟我們一起打招呼
[00:01:06.000 --> 00:01:08.280]  我們稍後還會繼續直播
[00:01:08.280 --> 00:01:11.800]  這個時候我們先邀請我們今天的第一位嘉賓
[00:01:11.800 --> 00:01:13.440]  戲劇農莊文藝總監Jacky
[00:01:13.440 --> 00:01:14.040]  大家都認識了
[00:01:14.040 --> 00:01:15.160]  我就不介紹了
[00:01:15.160 --> 00:01:16.320]  嗨
[00:01:16.320 --> 00:01:16.840]  早上好
[00:01:16.840 --> 00:01:17.760]  大家早上好
[00:01:17.760 --> 00:01:19.280]  馬上就開始了
[00:01:19.280 --> 00:01:19.960]  是的
[00:01:19.960 --> 00:01:23.760]  你看我這樣坐就知道今天是Casual的
[00:01:23.760 --> 00:01:25.520]  就是主要…
[00:01:25.520 --> 00:01:28.000]  我自己相信是…
